a,b,c,d,e
1,0.990495904731864,0.928772667924218,0.152462157863529,0.00279541555969442
2,0.983216754803928,0.000172827223343699,0.0263966444880954,0.00170668973206079
3,0.983172119812669,9.37894230173701e-05,0.0248034097657502,0.00169940115492264
4,0.984621602460067,0.00901145694452886,0.0460664881194005,0.00191581756420797
5,0.983036929059157,0.000174821562573359,0.0262842922322622,0.00168189062181661
6,0.981218320571563,0.000319251270532652,0.0239133550031051,0.00142917105898145
7,0.982885479164571,0.000325586745242636,0.0275773026748958,0.0016613669016807
8,0.982683312304323,9.65800657740302e-05,0.0244176623967541,0.00163098463234102
9,0.983703555553171,0.00869621088835299,0.0389618112699375,0.00178264785766932
10,0.983648965339476,0.00869205585184851,0.0383289699482281,0.00177450935195588
11,0.983539492735988,0.00854461463296486,0.0368439363636146,0.00175832800512744
12,0.982856264145965,9.45001245655082e-05,0.02446167523816,0.00165551307956564
13,0.983051567965994,0.000249484323022288,0.0268964773043561,0.00168376358884825
14,0.98377905934609,0.00861942371552741,0.0380971981887258,0.00179234988308747
15,0.981292604792575,0.000322656528638387,0.0242866132634308,0.00143415087056045
16,0.983034152058047,0.000328421247640536,0.0282658267442146,0.00168267897387249
17,0.983680091713184,0.00862289078174775,0.0383941305371347,0.00177908066474961
18,0.982994846742443,0.000171255094113632,0.0255656196867904,0.00167456895398826
19,0.983346404619943,0.000324922833493018,0.028242047665851,0.00172598090051099
20,0.983040872463343,0.000248139422766897,0.0267960301377323,0.00168281654061838
21,-0.983653552153937,-0.000324817031361141,-0.0279962980751534,-0.00166813516519491
22,-0.980829009474755,0.00812316189862238,-0.0101789280505905,-0.0011387068186576
23,-0.984301172986007,-0.00853823433090772,-0.0373366097180059,-0.00178691542504586
24,-0.984343586512334,-0.00854042543827308,-0.0377769925551195,-0.0017949473168834
25,-0.981848409470351,-0.00852824340926796,-0.0315363176931562,-0.00142529791687091
26,-0.981430455347881,-0.000390335552458436,-0.0237446357659986,-0.00135962308159036
27,-0.983624144754338,-0.000324920077371062,-0.028166775268447,-0.00167622435799118
28,-0.983949657138576,-0.00846409766819133,-0.0358606041396856,-0.00172678397630307
29,-0.984664763292291,-0.00876983093408634,-0.0410771994976036,-0.0018475551548235
30,-0.984283791577932,-0.00839021687401938,-0.0358850656911371,-0.00177160068990257
31,-0.983738053832628,-0.00033236393162568,-0.0291306000526693,-0.00169627143592507
32,-0.98403404314091,-0.00839007166889359,-0.0353149927440404,-0.00173624660606664
33,-0.984122367270307,-0.000553150242515663,-0.0317805574213528,-0.00175323583685165
34,-0.984045367402549,-0.00853474180480598,-0.0363368282107858,-0.00173925624915107
35,-0.984031373641229,-0.00832709406927205,-0.0355349279952129,-0.00174524232584837
36,-0.984123678571218,-0.000693786163347042,-0.0324274088165987,-0.00175319612941321
37,-0.98360509813332,-0.000324208898238957,-0.0280122359781605,-0.00167198500769915
38,-0.983386796007789,-0.000325496965381256,-0.0275766960494765,-0.00162822031071991
39,-0.984316409249495,-0.00853900630091681,-0.0375256385150175,-0.00178969533225652
40,-0.989981850176879,-0.903201990151624,-0.123350649663779,-0.0027262997690879
